연도별,연료,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,평균
2022,태양열,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705
,수소,2448.0,1329.0,318.0,1021.0,944,871.0,2200.0,131.0,3607.0,1803.0,964.0,783.0,1163.0,338.0,52.0,1638.0,3.0,19613.0,1153.7058823529412
,전기,41140.0,12501.0,16169.0,12942.0,5204,7675.0,3180.0,1879.0,40239.0,8042.0,8184.0,10015.0,7389.0,8837.0,11269.0,12725.0,25580.0,232970.0,13704.117647058823
2023,태양열,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.11764705882352941
,수소,2922.0,1937.0,558.0,1660.0,1183,1215.0,2573.0,261.0,6319.0,2544.0,1787.0,1259.0,1938.0,778.0,277.0,2465.0,13.0,29689.0,1746.4117647058824
,전기,59624.0,22114.0,24100.0,26342.0,9118,14450.0,5071.0,3081.0,77673.0,14065.0,15156.0,16617.0,12740.0,15449.0,19150.0,22749.0,32904.0,390403.0,22964.882352941175
2024,태양열,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705
,수소,3163.0,2064.0,631.0,1960.0,1239,1521.0,2828.0,425.0,7507.0,2704.0,2088.0,1534.0,2351.0,1026.0,412.0,2782.0,33.0,34268.0,2015.764705882353
,전기,72877.0,34789.0,30396.0,40845.0,12529,17981.0,7875.0,4430.0,114735.0,18247.0,20003.0,24194.0,19827.0,24276.0,26934.0,36410.0,39439.0,545787.0,32105.117647058825
2025,태양열,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705
,수소,3222.0,2249.0,700.0,2550.0,1287,1822.0,2946.0,527.0,8169.0,2706.0,2247.0,1740.0,2614.0,1182.0,536.0,2996.0,70.0,37563.0,2209.5882352941176
,수소전기,8.0,39.0,1.0,51.0,0,0.0,39.0,0.0,169.0,15.0,21.0,0.0,18.0,15.0,24.0,8.0,1.0,409.0,24.058823529411764
,전기,83562.0,44591.0,35093.0,54820.0,15271,21364.0,9851.0,5523.0,152165.0,21077.0,25237.0,30662.0,24954.0,31566.0,33990.0,46873.0,49442.0,686041.0,40355.35294117647
2026,태양열,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.11764705882352941
,수소,3150.0,2213.0,753.0,2584.0,1301,1814.0,2899.0,553.0,8191.0,2551.0,2195.0,1756.0,2573.0,1206.0,591.0,3102.0,88.0,37520.0,2207.0588235294117
,수소전기,296.0,334.0,101.0,911.0,146,249.0,385.0,45.0,1907.0,435.0,551.0,380.0,324.0,323.0,287.0,472.0,10.0,7156.0,420.94117647058823
,전기,102103.0,61422.0,42725.0,80433.0,19217,25537.0,13427.0,7413.0,208446.0,25785.0,33316.0,40030.0,30610.0,41368.0,45225.0,66487.0,60868.0,904412.0,53200.705882352944
5년도 총 대수,,374515.0,185582.0,151545.0,226119.0,67439,94499.0,53274.0,24268.0,629134.0,99974.0,111749.0,128970.0,106501.0,126364.0,138747.0,198707.0,208451.0,2925838.0,172108.11764705883
년도 평균 대수,,22030.29411764706,10916.588235294117,8914.411764705883,13301.117647058823,3967,5558.764705882353,3133.764705882353,1427.5294117647059,37007.882352941175,5880.823529411765,6573.470588235294,7586.470588235294,6264.764705882353,7433.176470588235,8161.588235294118,11688.64705882353,12261.823529411764,172108.11764705883,
