지역,보조금항목,금액
서울,승용최대보조금,1700
서울,초소형최대보조금,750
서울,화물최대보조금,1650
서울,승용최소보조금,0
서울,초소형최소보조금,0
서울,화물최소보조금,0
서울,승용보조금평균값,1700
서울,초소형보조금평균값,750
서울,화물보조금평균값,1650
경기,승용최대보조금,1700
경기,초소형최대보조금,700
경기,화물최대보조금,1600
경기,승용최소보조금,75
경기,초소형최소보조금,5
경기,화물최소보조금,0
경기,승용보조금평균값,1647
경기,초소형보조금평균값,563
경기,화물보조금평균값,551
강원,승용최대보조금,1840
강원,초소형최대보조금,770
강원,화물최대보조금,0
강원,승용최소보조금,0
강원,초소형최소보조금,0
강원,화물최소보조금,0
강원,승용보조금평균값,1646
강원,초소형보조금평균값,274
강원,화물보조금평균값,0
경남,승용최대보조금,2100
경남,초소형최대보조금,750
경남,화물최대보조금,1800
경남,승용최소보조금,0
경남,초소형최소보조금,0
경남,화물최소보조금,0
경남,승용보조금평균값,1868
경남,초소형보조금평균값,650
경남,화물보조금평균값,900
경북,승용최대보조금,2100
경북,초소형최대보조금,750
경북,화물최대보조금,1700
경북,승용최소보조금,350
경북,초소형최소보조금,0
경북,화물최소보조금,0
경북,승용보조금평균값,1752
경북,초소형보조금평균값,531
경북,화물보조금평균값,354
광주,승용최대보조금,1900
광주,초소형최대보조금,700
광주,화물최대보조금,0
광주,승용최소보조금,0
광주,초소형최소보조금,0
광주,화물최소보조금,0
광주,승용보조금평균값,1900
광주,초소형보조금평균값,700
광주,화물보조금평균값,0
대구,승용최대보조금,1800
대구,초소형최대보조금,850
대구,화물최대보조금,1750
대구,승용최소보조금,0
대구,초소형최소보조금,0
대구,화물최소보조금,0
대구,승용보조금평균값,1800
대구,초소형보조금평균값,850
대구,화물보조금평균값,1750
대전,승용최대보조금,1900
대전,초소형최대보조금,750
대전,화물최대보조금,1800
대전,승용최소보조금,0
대전,초소형최소보조금,0
대전,화물최소보조금,0
대전,승용보조금평균값,1900
대전,초소형보조금평균값,750
대전,화물보조금평균값,1800
부산,승용최대보조금,1700
부산,초소형최대보조금,656
부산,화물최대보조금,2500
부산,승용최소보조금,0
부산,초소형최소보조금,0
부산,화물최소보조금,0
부산,승용보조금평균값,1700
부산,초소형보조금평균값,656
부산,화물보조금평균값,2500
세종,승용최대보조금,1900
세종,초소형최대보조금,800
세종,화물최대보조금,1800
세종,승용최소보조금,0
세종,초소형최소보조금,0
세종,화물최소보조금,0
세종,승용보조금평균값,1900
세종,초소형보조금평균값,800
세종,화물보조금평균값,1800
울산,승용최대보조금,1700
울산,초소형최대보조금,700
울산,화물최대보조금,1600
울산,승용최소보조금,0
울산,초소형최소보조금,0
울산,화물최소보조금,0
울산,승용보조금평균값,1700
울산,초소형보조금평균값,700
울산,화물보조금평균값,1600
인천,승용최대보조금,1800
인천,초소형최대보조금,650
인천,화물최대보조금,0
인천,승용최소보조금,0
인천,초소형최소보조금,0
인천,화물최소보조금,0
인천,승용보조금평균값,1800
인천,초소형보조금평균값,650
인천,화물보조금평균값,0
전남,승용최대보조금,2300
전남,초소형최대보조금,890
전남,화물최대보조금,1760
전남,승용최소보조금,1640
전남,초소형최소보조금,0
전남,화물최소보조금,0
전남,승용보조금평균값,1916
전남,초소형보조금평균값,596
전남,화물보조금평균값,586
전북,승용최대보조금,1800
전북,초소형최대보조금,700
전북,화물최대보조금,0
전북,승용최소보조금,1800
전북,초소형최소보조금,0
전북,화물최소보조금,0
전북,승용보조금평균값,1800
전북,초소형보조금평균값,600
전북,화물보조금평균값,0
제주,승용최대보조금,1800
제주,초소형최대보조금,700
제주,화물최대보조금,1800
제주,승용최소보조금,0
제주,초소형최소보조금,0
제주,화물최소보조금,0
제주,승용보조금평균값,1800
제주,초소형보조금평균값,700
제주,화물보조금평균값,1800
충남,승용최대보조금,2200
충남,초소형최대보조금,850
충남,화물최대보조금,2000
충남,승용최소보조금,0
충남,초소형최소보조금,0
충남,화물최소보조금,0
충남,승용보조금평균값,1805
충남,초소형보조금평균값,238
충남,화물보조금평균값,117
충북,승용최대보조금,2200
충북,초소형최대보조금,950
충북,화물최대보조금,0
충북,승용최소보조금,0
충북,초소형최소보조금,0
충북,화물최소보조금,0
충북,승용보조금평균값,1707
충북,초소형보조금평균값,803
충북,화물보조금평균값,0
